deviceid,start,end,today,n1,ts_datetime,network,ts_id,ts_airtemp,ts_frc1,ts_tc1,ts_frc2,ts_tc2,ts_ntu,ts_wattemp,ts_cond,ts_ph,ts_consent,n2,ts_cont,ts_cov,ts_clean,ts_cc,n3,n4,hh_cc,n5,hh_consent,n6,hh_datetime,hh_cont,hh_cont2,hh_clean,hh_same,n7,hh_draw,hh_draw/P,hh_draw/S,hh_draw/T,hh_draw/Oth,hh_cov,hh_sun,n8,hh_airtemp,hh_frc1,hh_tc1,hh_frc2,hh_tc2,hh_ntu,hh_wattemp,hh_cond,hh_ph,n9,_id,_uuid,_submission_time,_validation_status,_index
3.52514E+14,2019-08-07T08:39:09.618+06,2019-08-07T13:51:17.963+06,2019-08-07,,2019-08-07T08:39:00.000+06,net_09,14,27.4,0,0.2,,,0.89,27.5,,,1,,MJ,0,1,2,,,2,,1,,2019-08-07T13:43:00.000+06,1,,,1,,P,1,0,0,0,0,0,,27.9,0.01,0.06,,,0.71,27.5,,,,340941,3899cc69-ce36-4346-8a1c-d79df182ceff,2019-08-08T10:49:30,,164
3.52514E+14,2019-08-08T08:29:37.809+06,2019-08-08T14:56:40.061+06,2019-08-08,,2019-08-08T08:29:00.000+06,net_01,30,28,1.7,1.73,,,0.64,27.3,309,7.77,1,,MJ,0,1,3,,,3,,1,,2019-08-08T14:53:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.7,1.35,1.36,,,0.62,28.7,308,8.03,,340942,70b2e851-1428-4e9f-af8a-8a22ef433945,2019-08-08T10:49:31,,165
3.52514E+14,2019-08-07T08:47:26.087+06,2019-08-07T14:02:03.811+06,2019-08-07,,2019-08-07T08:49:00.000+06,net_09,20,27.4,0.19,0.2,,,1.47,27.7,,,1,,MJ,0,1,5,,,5,,1,,2019-08-07T13:52:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.2,0.08,0.1,,,0.85,28,,,,340943,aa72f6bc-82a7-4531-b3e8-263fb91a657e,2019-08-08T10:49:33,,166
3.52514E+14,2019-08-08T08:43:21.093+06,2019-08-08T15:00:15.359+06,2019-08-08,,2019-08-08T08:43:00.000+06,net_01,28,26.7,1.54,1.52,,,0.53,27,307,7.84,1,,MJ,0,1,4,,,4,,1,,2019-08-08T14:57:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.9,1.2,1.19,,,0.52,28.8,307,7.96,,340944,90d08e14-5820-4b85-b624-330e345c71d4,2019-08-08T10:49:33,,167
3.52514E+14,2019-08-07T09:00:20.678+06,2019-08-07T14:13:30.879+06,2019-08-07,,2019-08-07T09:00:00.000+06,net_09,3,27.3,0.1,0.11,,,0.83,27.4,,,1,,MJ,0,1,6,,,6,,1,,2019-08-07T14:04:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28,0.12,0.15,,,0.96,28,,,,340945,bde6a42c-907f-4a89-9270-9856e17a004d,2019-08-08T10:49:36,,168
3.52514E+14,2019-08-08T08:54:31.787+06,2019-08-08T15:13:57.391+06,2019-08-08,,2019-08-08T08:54:00.000+06,net_01,19,27.1,1.45,1.46,,,0.65,27.2,307,7.96,1,,MJ,0,1,5,,,5,,1,,2019-08-08T15:13:00.000+06,1,,,1,,P,1,0,0,0,0,0,,29.2,1.29,1.3,,,0.52,28.6,308,7.95,,340946,f2940ebc-27cc-4e53-80ea-65d588e3d726,2019-08-08T10:49:37,,169
3.52514E+14,2019-08-07T09:08:21.048+06,2019-08-07T14:34:43.468+06,2019-08-07,,2019-08-07T09:10:00.000+06,net_09,2,27.3,0.11,0.13,,,0.74,27.6,,,1,,MJ,0,1,7,,,7,,1,,2019-08-07T14:24:00.000+06,1,,,1,,P,1,0,0,0,0,0,,24.4,0.05,0.08,,,0.78,27.5,,,,340947,c1fad7ab-7e0e-448a-903f-40e8bf3c1a96,2019-08-08T10:49:41,,170
3.52514E+14,2019-08-08T09:09:43.312+06,2019-08-08T15:28:53.655+06,2019-08-08,,2019-08-08T09:09:00.000+06,net_01,3,28.3,1.54,1.51,,,0.4,27.6,310,7.88,1,,MJ,0,1,6,,,6,,1,,2019-08-08T15:28:00.000+06,1,,,1,,P,1,0,0,0,0,0,,29.3,1.38,1.4,,,0.34,28.7,308,7.97,,340948,0d618068-1889-41d1-bbe9-1768eb2c06f6,2019-08-08T10:49:41,,171
3.52514E+14,2019-08-07T09:22:22.888+06,2019-08-07T14:49:07.459+06,2019-08-07,,2019-08-07T09:22:00.000+06,net_09,1,27.3,0.04,0.6,,,0.47,27.6,,,1,,MJ,0,1,8,,,8,,1,,2019-08-07T14:37:00.000+06,1,,,1,,P,1,0,0,0,0,0,,27.6,0.01,0.04,,,0.53,27.7,,,,340949,0fbf501f-18fe-4b4a-ad4c-d44b83aa9dac,2019-08-08T10:49:45,,172
3.52514E+14,2019-08-08T08:27:58.128+06,2019-08-08T14:17:46.308+06,2019-08-08,,2019-08-08T08:28:00.000+06,net_09,5,27.2,0.06,0.13,,,1.21,27.3,,,1,,MJ,0,1,1,,,1,,1,,2019-08-08T14:07:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.9,0.01,0.04,,,1.15,28.6,,,,340950,8c8055ed-a1aa-496b-9833-51497447ccfd,2019-08-08T10:50:05,,173
