ts_datetime,ts_frc,hh_datetime,hh_frc,ts_cond,ts_wattemp
2019-08-05T08:51:00.000+06,0.78,2019-08-05T14:59:00.000+06,0.59,374,28.2
2019-08-04T08:42:00.000+06,0.9,2019-08-04T14:21:00.000+06,0.84,,27.4
2019-08-05T09:06:00.000+06,0.69,2019-08-05T15:08:00.000+06,0.24,356,27.9
2019-08-04T08:53:00.000+06,0.92,2019-08-04T14:31:00.000+06,0.67,,27.4
2019-08-05T09:22:00.000+06,0.8,2019-08-05T15:17:00.000+06,0.45,390,27.7
2019-08-04T09:10:00.000+06,0.94,2019-08-04T14:42:00.000+06,0.65,,28
2019-08-05T09:32:00.000+06,0.8,2019-08-05T15:30:00.000+06,0.5,376,27.5
2019-08-04T09:23:00.000+06,0.97,2019-08-04T14:52:00.000+06,0.56999999999999995,,27.7
2019-08-05T09:49:00.000+06,0.47,2019-08-05T15:37:00.000+06,0.31,329,29.9
2019-08-05T08:24:00.000+06,0.78,2019-08-05T14:27:00.000+06,0.56000000000000005,,27.6
2019-08-06T08:10:00.000+06,0.56999999999999995,2019-08-06T14:34:00.000+06,0.37,409,27.5
2019-08-05T08:39:00.000+06,0.8,2019-08-05T14:53:00.000+06,0.59,,27.4
2019-08-06T08:23:00.000+06,0.57999999999999996,2019-08-06T14:50:00.000+06,0.49,411,28.2
2019-08-05T08:47:00.000+06,0.55000000000000004,2019-08-05T15:05:00.000+06,0.36,,27.9
2019-08-06T08:42:00.000+06,0.65,2019-08-06T14:59:00.000+06,0.51,377,28
2019-08-05T09:01:00.000+06,0.65,2019-08-05T15:18:00.000+06,0.45,,28.2
2019-08-06T09:07:00.000+06,0.89,2019-08-06T15:22:00.000+06,0.63,353,29.3
2019-08-05T09:13:00.000+06,0.79,2019-08-05T15:28:00.000+06,0.46,,27.9
2019-08-06T09:17:00.000+06,0.7,2019-08-06T15:34:00.000+06,0.38,357,28.3
2019-08-05T09:23:00.000+06,0.71,2019-08-05T15:47:00.000+06,0.52,,28.5
2019-08-06T09:29:00.000+06,0.73,2019-08-06T15:48:00.000+06,0.28000000000000003,311,28.3
2019-08-07T08:21:00.000+06,0.63,2019-08-07T14:59:00.000+06,0.41,317,28.1
2019-08-06T08:04:00.000+06,0.64,2019-08-06T14:25:00.000+06,0.33,,27.6
2019-08-07T08:30:00.000+06,0.47,2019-08-07T15:07:00.000+06,0.33,309,27.4
2019-08-06T08:31:00.000+06,0.67,2019-08-06T14:34:00.000+06,0.34,,27.7
2019-08-07T08:41:00.000+06,1.01,2019-08-07T15:19:00.000+06,0.9,314,27.9
2019-08-06T08:45:00.000+06,0.54,2019-08-06T14:47:00.000+06,0.28000000000000003,,27.4
2019-08-07T08:50:00.000+06,0.98,2019-08-07T15:31:00.000+06,0.83,308,27.7
2019-08-06T09:01:00.000+06,0.66,2019-08-06T14:59:00.000+06,0.28999999999999998,,27.4
2019-08-07T09:03:00.000+06,0.93,2019-08-07T15:44:00.000+06,0.52,308,27.8
2019-08-06T09:15:00.000+06,0.45,2019-08-06T15:11:00.000+06,0.15,,27.4
2019-08-07T09:11:00.000+06,1.06,2019-08-07T15:51:00.000+06,0.84,306,28
2019-08-06T09:29:00.000+06,0.48,2019-08-06T15:24:00.000+06,0.25,,27.9
2019-08-08T08:03:00.000+06,1.55,2019-08-08T14:39:00.000+06,0.37,323,27.2
2019-08-07T08:25:00.000+06,0.08,2019-08-07T13:33:00.000+06,0.05,,27
2019-08-08T08:13:00.000+06,1.45,2019-08-08T14:47:00.000+06,1.27,309,28
2019-08-07T08:39:00.000+06,0,2019-08-07T13:43:00.000+06,0.01,,27.5
2019-08-08T08:29:00.000+06,1.7,2019-08-08T14:53:00.000+06,1.35,309,27.3
2019-08-07T08:49:00.000+06,0.19,2019-08-07T13:52:00.000+06,0.08,,27.7
2019-08-08T08:43:00.000+06,1.54,2019-08-08T14:57:00.000+06,1.2,307,27
2019-08-07T09:00:00.000+06,0.1,2019-08-07T14:04:00.000+06,0.12,,27.4
2019-08-08T08:54:00.000+06,1.45,2019-08-08T15:13:00.000+06,1.29,307,27.2
2019-08-07T09:10:00.000+06,0.11,2019-08-07T14:24:00.000+06,0.05,,27.6
2019-08-08T09:09:00.000+06,1.54,2019-08-08T15:28:00.000+06,1.38,310,27.6
2019-08-07T09:22:00.000+06,0.04,2019-08-07T14:37:00.000+06,0.01,,27.6
2019-08-08T08:28:00.000+06,0.06,2019-08-08T14:07:00.000+06,0.01,,27.3
2019-08-08T08:46:00.000+06,0.02,2019-08-08T14:19:00.000+06,0.01,,27.2
2019-08-08T09:00:00.000+06,7.0000000000000007E-2,2019-08-08T14:32:00.000+06,0.08,,27.3
2019-08-08T09:13:00.000+06,0.05,2019-08-08T14:41:00.000+06,0.09,,27.8
2019-08-08T09:23:00.000+06,0.13,2019-08-08T14:52:00.000+06,0.11,,27.6
2019-08-08T09:33:00.000+06,0.14000000000000001,2019-08-08T15:02:00.000+06,0.03,,27.8
2019-08-13T08:42:00.000+06,0.52,2019-08-13T14:48:00.000+06,0.28999999999999998,306,28.1
2019-08-13T09:18:00.000+06,0.48,2019-08-13T15:00:00.000+06,0.22,308,28
2019-08-13T09:38:00.000+06,0.23,2019-08-13T15:16:00.000+06,0.21,410,27.3
2019-08-13T10:00:00.000+06,0.56999999999999995,2019-08-13T15:27:00.000+06,0.14000000000000001,382,28.2
2019-08-13T10:13:00.000+06,0.52,2019-08-13T15:42:00.000+06,0.02,350,26.8
2019-08-10T15:53:00.000+06,0.36,2019-08-11T08:07:00.000+06,0.03,,28.4
2019-08-14T08:32:00.000+06,0.66,2019-08-14T14:42:00.000+06,0.27,342,26.8
2019-08-10T16:09:00.000+06,0.32,2019-08-11T08:17:00.000+06,0.06,,28.1
2019-08-10T15:03:00.000+06,0.83,2019-08-11T07:13:00.000+06,0.27,311,28.3
2019-08-10T16:18:00.000+06,0.28999999999999998,2019-08-11T08:27:00.000+06,0.05,,28.1
2019-08-14T08:43:00.000+06,0.67,2019-08-14T15:01:00.000+06,0.37,326,26.8
2019-08-10T15:12:00.000+06,0.72,2019-08-11T07:22:00.000+06,0.2,306,28.3
2019-08-14T08:53:00.000+06,0.64,2019-08-14T15:13:00.000+06,0.33,338,27.8
2019-08-10T16:29:00.000+06,0.21,2019-08-11T08:37:00.000+06,0.08,,28
2019-08-10T15:23:00.000+06,0.79,2019-08-11T07:29:00.000+06,0.13,305,28.43
2019-08-10T16:40:00.000+06,0.26,2019-08-11T08:45:00.000+06,0.03,,27.9
2019-08-14T09:07:00.000+06,0.64,2019-08-14T15:25:00.000+06,0.45,330,27.5
2019-08-10T15:32:00.000+06,0.63,2019-08-11T07:40:00.000+06,0.18,302,28.1
2019-08-10T15:47:00.000+06,0.37,2019-08-11T07:52:00.000+06,0.22,304,28.1
2019-08-10T08:52:00.000+06,0.28000000000000003,2019-08-10T15:39:00.000+06,0.01,489,28
2019-08-10T08:59:00.000+06,0.38,2019-08-10T15:45:00.000+06,0.02,473,28
2019-08-10T09:09:00.000+06,0.25,2019-08-10T15:52:00.000+06,0.04,473,27.8
2019-08-10T09:34:00.000+06,0.53,2019-08-10T16:04:00.000+06,0.04,478,28.3
2019-08-10T09:43:00.000+06,0.12,2019-08-10T16:11:00.000+06,0.11,478,28.5
2019-08-13T15:00:00.000+06,0.73,2019-08-14T08:25:00.000+06,0.56000000000000005,,27.6
2019-08-10T09:57:00.000+06,0.18,2019-08-10T16:23:00.000+06,0.11,474,28
2019-08-13T15:12:00.000+06,0.75,2019-08-14T08:35:00.000+06,0.45,,26.7
2019-08-11T08:09:00.000+06,0.94,2019-08-11T14:35:00.000+06,0.17,292,28
2019-08-13T15:22:00.000+06,0.74,2019-08-14T08:50:00.000+06,0.42,,28.3
2019-08-11T08:18:00.000+06,0.93,2019-08-11T14:41:00.000+06,0.33,292,28.2
2019-08-13T15:32:00.000+06,0.72,2019-08-14T08:59:00.000+06,0.49,,27.5
2019-08-11T08:32:00.000+06,0.95,2019-08-11T14:54:00.000+06,0.04,291,27.9
2019-08-13T15:43:00.000+06,0.72,2019-08-14T09:15:00.000+06,0.53,,27.6
2019-08-11T08:42:00.000+06,0.91,2019-08-11T15:06:00.000+06,0.03,291,27.8
2019-08-11T09:01:00.000+06,0.82,2019-08-11T15:21:00.000+06,0.21,291,28.1
2019-08-13T08:55:00.000+06,0.19,2019-08-13T14:56:00.000+06,0.08,472,27.8
2019-08-13T14:47:00.000+06,0.8,2019-08-14T07:16:00.000+06,0.33,311,27.8
2019-08-13T09:07:00.000+06,0.08,2019-08-13T15:03:00.000+06,0.09,426,27.8
2019-08-13T14:59:00.000+06,0.67,2019-08-14T07:24:00.000+06,0.42,308,28.1
2019-08-13T09:58:00.000+06,0.12,2019-08-13T15:23:00.000+06,0.09,462,28
2019-08-13T15:10:00.000+06,0.65,2019-08-14T07:38:00.000+06,0.5,307,28.3
2019-08-13T10:11:00.000+06,0.15,2019-08-13T15:35:00.000+06,0.04,465,28.4
2019-08-13T15:23:00.000+06,0.61,2019-08-14T07:53:00.000+06,0.18,307,28.2
2019-08-14T08:38:00.000+06,0.52,2019-08-14T14:44:00.000+06,0.06,471,28.2
2019-08-13T15:40:00.000+06,0.23,2019-08-14T08:03:00.000+06,0.35,311,28.4
2019-08-14T08:53:00.000+06,0.06,2019-08-14T14:53:00.000+06,0.11,472,28.4
2019-08-14T09:10:00.000+06,0.37,2019-08-14T15:06:00.000+06,0.12,472,28.2
2019-08-14T09:21:00.000+06,0.47,2019-08-14T15:17:00.000+06,0.13,475,28.5
2019-08-14T09:28:00.000+06,0.53,2019-08-14T15:27:00.000+06,0.01,477,28.3
2019-08-19T16:08:00.000+06,0.93,2019-08-20T08:10:00.000+06,0.75,294,28.4
